date,price
2014-01-03,96.47
2014-01-10,92.42
2014-01-17,92.98
2014-01-24,96.19
2014-01-31,97.29
2014-02-07,97.78
2014-02-14,100.21
2014-02-21,102.93
2014-02-28,102.77
2014-03-07,103.07
2014-03-14,99.55
2014-03-21,99.77
2014-03-28,100.66
2014-04-04,100.46
2014-04-11,102.72
2014-04-18,103.95
2014-04-25,102.11
2014-05-02,100.51
2014-05-09,100.29
2014-05-16,101.92
2014-05-23,103.82
2014-05-30,103.95
2014-06-06,103.23
2014-06-13,105.97
2014-06-20,107.23
2014-06-27,106.69
2014-07-04,105.52
2014-07-11,103.25
2014-07-18,102.37
2014-07-25,104.35
2014-08-01,102.19
2014-08-08,97.5
2014-08-15,97.17
2014-08-22,94.95
2014-08-29,96.25
2014-09-05,94.06
2014-09-12,92.43
2014-09-19,93.52
2014-09-26,93.15
2014-10-03,91.44
2014-10-10,87.63
2014-10-17,82.88
2014-10-24,82.12
2014-10-31,81.29
2014-11-07,78.24
2014-11-14,76.5
2014-11-21,75.38
2014-11-28,72.36
2014-12-05,67.18
2014-12-12,61.14
2014-12-19,55.89
2014-12-26,55.58
2015-01-02,53.44
2015-01-09,48.77
2015-01-16,47.07
2015-01-23,46.46
2015-01-30,45.32
2015-02-06,50.58
2015-02-13,51.14
2015-02-20,51.69
2015-02-27,49.16
2015-03-06,50.38
2015-03-13,47.69
2015-03-20,44.39
2015-03-27,48.68
2015-04-03,48.91
2015-04-10,51.78
2015-04-17,54.78
2015-04-24,56.14
2015-05-01,57.98
2015-05-08,59.73
2015-05-15,60.01
2015-05-22,58.95
2015-05-29,58.19
2015-06-05,59.66
2015-06-12,60.07
2015-06-19,59.89
2015-06-26,60.01
2015-07-03,57.92
2015-07-10,52.38
2015-07-17,51.68
2015-07-24,49.21
2015-07-31,47.91
2015-08-07,44.94
2015-08-14,43.2
2015-08-21,41.34
2015-08-28,40.73
2015-09-04,46.73
2015-09-11,45.16
2015-09-18,45.48
2015-09-25,45.57
2015-10-02,45
2015-10-09,48.36
2015-10-16,46.82
2015-10-23,45.16
2015-10-30,44.99
2015-11-06,45.98
2015-11-13,42.7
2015-11-20,40.62
2015-11-27,40.49
2015-12-04,40.4
2015-12-11,36.93
2015-12-18,35.78
2015-12-25,36.26
2016-01-01,36.99
2016-01-08,34.65
2016-01-15,30.59
2016-01-22,29.19
2016-01-29,31.81
2016-02-05,31.26
2016-02-12,28.14
2016-02-19,30.02
2016-02-26,31.32
2016-03-04,34.43
2016-03-11,37.69
2016-03-18,38.32
2016-03-25,39.45
2016-04-01,36.82
2016-04-08,36.72
2016-04-15,41.23
2016-04-22,41.86
2016-04-29,44.3
2016-05-06,44.22
2016-05-13,45.44
2016-05-20,47.99
2016-05-27,48.72
2016-06-03,49
2016-06-10,50.18
2016-06-17,47.89
2016-06-24,48.71
2016-07-01,48.17
2016-07-08,46.17
2016-07-15,45.6
2016-07-22,44.44
2016-07-29,41.83
2016-08-05,40.82
2016-08-12,43.11
2016-08-19,47.16
2016-08-26,47.05
2016-09-02,45.11
2016-09-09,45.96
2016-09-16,44.34
2016-09-23,44.59
2016-09-30,46.55
2016-10-07,49.48
2016-10-14,50.29
2016-10-21,50.56
2016-10-28,49.36
2016-11-04,45.51
2016-11-11,44.61
2016-11-18,45.15
2016-11-25,47.25
2016-12-02,48.63
2016-12-09,50.97
2016-12-16,51.91
2016-12-23,51.95
2016-12-30,53.6
2017-01-06,53.34
2017-01-13,52.07
2017-01-20,51.82
2017-01-27,52.74
2017-02-03,53.33
2017-02-10,52.88
2017-02-17,53.22
2017-02-24,54.03
2017-03-03,53.56
2017-03-10,50.5
2017-03-17,48.03
2017-03-24,47.28
2017-03-31,49.14
